"Candidate","p","d","q","P","D","Q","Rationale","Specification","AIC","AICc","BIC","Ljung_Box_lag","Fit_df","Ljung_Box_p_value","White_noise_at_5pct","Nonnegative_candidate_forecast","Fit_status","Eligible","Selected"
"M16",0,0,2,1,1,1,"Restricted diagnostic-guided search: p=0 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,2)(1,1,1)[12]",105.493588903772,105.763859174042,122.640317048544,24,4,0.0351343289855418,FALSE,TRUE,"Converged",FALSE,FALSE
"M21",2,0,0,2,1,1,"Restricted diagnostic-guided search: p=2 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,0)(2,1,1)[12]",105.465231596752,105.84532209449,126.041305370479,24,5,0.276277988897685,TRUE,TRUE,"Converged",TRUE,FALSE
"M23",1,0,1,2,1,1,"Restricted diagnostic-guided search: p=1 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,1)(2,1,1)[12]",105.496872209867,105.876962707605,126.072945983594,24,5,0.282561192911221,TRUE,TRUE,"Converged",TRUE,FALSE
"M06",2,0,1,0,1,1,"Restricted diagnostic-guided search: p=2 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,1)(0,1,1)[12]",105.689669200646,105.959939470916,122.836397345418,24,4,0.036239422501658,FALSE,TRUE,"Converged",FALSE,FALSE
"M08",1,0,2,0,1,1,"Restricted diagnostic-guided search: p=1 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,2)(0,1,1)[12]",105.716725780396,105.986996050666,122.863453925168,24,4,0.0288058982852545,FALSE,TRUE,"Converged",FALSE,FALSE
"M12",2,0,0,1,1,1,"Restricted diagnostic-guided search: p=2 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,0)(1,1,1)[12]",105.778009704015,106.048279974285,122.924737848787,24,4,0.0587270062936931,TRUE,TRUE,"Converged",TRUE,FALSE
"M14",1,0,1,1,1,1,"Restricted diagnostic-guided search: p=1 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,1)(1,1,1)[12]",105.808769457364,106.079039727634,122.955497602136,24,4,0.0611986964333503,TRUE,TRUE,"Converged",TRUE,FALSE
"M24",2,0,1,2,1,1,"Restricted diagnostic-guided search: p=2 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,1)(2,1,1)[12]",106.924676470769,107.43376737986,130.93009587345,24,6,0.18956422545534,TRUE,TRUE,"Converged",TRUE,FALSE
"M17",1,0,2,1,1,1,"Restricted diagnostic-guided search: p=1 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,2)(1,1,1)[12]",107.468926570313,107.849017068051,128.04500034404,24,5,0.0213857989107455,FALSE,TRUE,"Converged",FALSE,FALSE
"M09",2,0,2,0,1,1,"Restricted diagnostic-guided search: p=2 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,2)(0,1,1)[12]",107.689368413615,108.069458911353,128.265442187342,24,5,0.0257548754295454,FALSE,TRUE,"Converged",FALSE,FALSE
"M18",2,0,2,1,1,1,"Restricted diagnostic-guided search: p=2 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,2)(1,1,1)[12]",107.731961427929,108.241052337019,131.73738083061,24,6,0.0558702116288592,TRUE,TRUE,"Optimisation warning",FALSE,FALSE
"M15",2,0,1,1,1,1,"Restricted diagnostic-guided search: p=2 and q=1 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,1)(1,1,1)[12]",107.893902849352,108.27399334709,128.469976623079,24,5,0.046915340982465,FALSE,TRUE,"Converged",FALSE,FALSE
"M27",2,0,2,2,1,1,"Restricted diagnostic-guided search: p=2 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(2,0,2)(2,1,1)[12]",108.910001961353,109.567536207929,136.344766992989,24,7,0.145135852864177,TRUE,TRUE,"Converged",TRUE,FALSE
"M01",0,0,0,0,1,1,"Restricted diagnostic-guided search: p=0 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=0 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,0)(0,1,1)[12]",110.137276995302,110.190610328635,116.995968253211,24,1,0.130393107760721,TRUE,TRUE,"Converged",TRUE,FALSE
"M10",0,0,0,1,1,1,"Restricted diagnostic-guided search: p=0 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=1 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,0)(1,1,1)[12]",112.084373877971,112.191516735114,122.372410764834,24,2,0.1039916428556,TRUE,TRUE,"Converged",TRUE,FALSE
"M19",0,0,0,2,1,1,"Restricted diagnostic-guided search: p=0 and q=0 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(0,0,0)(2,1,1)[12]",112.887690772252,113.067062969561,126.605073288069,24,3,0.168045241444502,TRUE,TRUE,"Converged",TRUE,FALSE
"M26",1,0,2,2,1,1,"Restricted diagnostic-guided search: p=1 and q=2 test low ordinary orders because lag-1 ACF/PACF were both significant but ambiguous; P=2 tests the seasonal PACF evidence; d=0, D=1, Q=1, and m=12 are fixed from training-only stationarity, seasonal-strength, and ACF evidence","ARIMA(1,0,2)(2,1,1)[12]",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"non-finite finite-difference value [1]",FALSE,FALSE
